well_id,status,field_x_km,field_y_km,injection_pressure_psi,steam_quality_frac,prior_cycle_count,thermal_conductivity_W_mK,porosity_frac,formation_thickness_m,baseline_reservoir_temp_C,crude_api_gravity,fluid_level_m,rod_string_diameter_in,rod_string_length_ft,pump_depth_ft,tubing_size_in,fluid_specific_gravity,water_cut_frac,cycle_num,lagged_bopd,arps_qi,is_synthetic,data_source
BGW-011,operational,0.293,3.945,201.7,0.909,4,2.229,0.254,11.99,46.9,18.27,666.2,1.0,3497.3,3990.0,2.875,0.988,0.191,3,20.76,44.14,True,synthetic_field_prototype
BGW-012,operational,12.107,7.973,219.0,0.832,6,1.966,0.294,11.56,46.5,18.55,873.1,1.0,3775.9,3465.8,3.5,0.922,0.179,3,25.89,45.57,True,synthetic_field_prototype
BGW-013,non_producing,13.888,2.271,188.8,0.908,1,2.26,0.299,11.48,50.5,18.95,679.2,0.75,3809.3,3827.7,3.5,0.975,0.209,6,45.75,35.74,True,synthetic_field_prototype
BGW-014,operational,12.259,7.594,183.7,0.911,2,2.599,0.299,12.02,47.7,17.02,454.2,1.0,3658.0,4207.1,2.375,0.932,0.103,6,64.4,74.59,True,synthetic_field_prototype
BGW-015,non_producing,10.387,13.77,221.8,0.888,5,2.075,0.268,15.38,46.4,18.49,648.5,0.75,3203.0,3912.1,2.375,0.97,0.228,4,20.46,59.0,True,synthetic_field_prototype
BGW-016,operational,2.654,4.482,225.3,0.835,3,2.113,0.244,10.28,49.7,18.02,842.6,0.875,3309.1,3779.5,3.5,0.957,0.1,2,62.07,72.2,True,synthetic_field_prototype
BGW-017,operational,5.366,9.892,221.4,0.885,1,1.984,0.278,15.25,49.5,17.62,840.9,0.75,4091.8,4153.8,2.875,0.948,0.245,7,68.03,77.15,True,synthetic_field_prototype
BGW-018,operational,12.604,12.717,191.8,0.871,3,2.367,0.282,12.7,44.6,17.32,791.6,1.0,4165.1,3392.5,2.375,0.949,0.085,3,34.65,56.05,True,synthetic_field_prototype
BGW-019,operational,4.01,7.221,232.6,0.803,4,2.399,0.303,15.6,46.0,18.75,446.8,0.75,3339.5,3748.6,3.5,0.927,0.247,4,68.12,41.51,True,synthetic_field_prototype
BGW-020,non_producing,12.486,5.034,198.9,0.872,3,1.727,0.282,12.32,43.4,17.87,552.5,0.875,4488.5,4018.0,2.375,0.931,0.231,2,49.94,52.1,True,synthetic_field_prototype
BGW-021,operational,8.94,9.547,202.7,0.896,3,2.256,0.288,10.53,45.0,17.79,416.9,0.875,4060.3,3679.8,2.375,0.97,0.095,4,30.71,74.13,True,synthetic_field_prototype
BGW-022,operational,12.691,9.65,211.5,0.784,5,2.385,0.285,9.58,47.6,17.01,625.7,1.0,4284.3,3648.7,2.875,0.936,0.146,6,66.57,74.63,True,synthetic_field_prototype
BGW-023,non_producing,8.43,1.044,186.7,0.91,1,1.812,0.252,14.5,45.4,17.82,605.0,0.875,3755.7,4274.6,3.5,0.955,0.138,7,57.75,44.88,True,synthetic_field_prototype
BGW-024,non_producing,8.525,8.42,257.1,0.793,2,1.887,0.293,11.32,44.0,18.79,765.7,0.875,3152.3,4310.9,2.375,0.96,0.266,2,31.54,41.01,True,synthetic_field_prototype
BGW-025,operational,5.851,9.576,180.3,0.835,4,2.063,0.294,10.36,50.0,17.65,813.4,0.75,4415.8,3610.6,3.5,0.979,0.126,3,28.88,56.79,True,synthetic_field_prototype
BGW-026,operational,1.053,13.396,181.0,0.85,3,2.454,0.251,13.18,47.2,18.52,749.3,1.0,4269.3,3999.4,3.5,0.944,0.101,4,63.56,46.99,True,synthetic_field_prototype
BGW-027,non_producing,12.516,4.285,184.6,0.821,1,2.046,0.248,12.01,49.4,17.83,646.9,0.75,3344.5,3952.7,3.5,0.989,0.179,3,47.34,40.19,True,synthetic_field_prototype
BGW-028,operational,10.026,12.769,254.1,0.862,4,2.017,0.294,15.61,50.8,17.57,867.8,0.75,4394.9,3501.0,3.5,0.988,0.231,2,47.01,40.02,True,synthetic_field_prototype
BGW-029,operational,10.144,8.333,226.3,0.899,1,2.393,0.247,14.33,47.3,17.38,573.6,1.0,4374.2,4358.3,2.875,0.927,0.168,7,50.12,73.48,True,synthetic_field_prototype
BGW-030,operational,8.362,3.123,220.2,0.852,6,2.505,0.268,10.64,49.0,17.84,642.2,0.75,4079.4,4106.2,3.5,0.985,0.223,4,51.67,61.43,True,synthetic_field_prototype
BGW-031,operational,3.979,3.231,222.5,0.788,6,1.851,0.297,13.75,43.2,17.33,708.9,0.75,3942.3,3454.4,2.875,0.98,0.132,4,42.47,61.68,True,synthetic_field_prototype
BGW-032,operational,13.727,2.932,193.0,0.8,3,2.397,0.271,15.49,43.5,18.06,778.6,0.875,3650.6,4273.8,2.875,0.956,0.261,2,49.92,63.55,True,synthetic_field_prototype
BGW-033,non_producing,12.7,1.306,244.5,0.876,2,2.475,0.289,12.18,49.4,17.57,427.7,0.75,4299.8,4294.4,3.5,0.951,0.227,4,34.43,69.45,True,synthetic_field_prototype
BGW-034,operational,13.499,4.929,201.9,0.862,5,2.49,0.289,15.79,50.4,18.42,753.4,0.875,3545.7,4272.2,2.375,0.948,0.126,6,31.15,60.97,True,synthetic_field_prototype
BGW-035,operational,12.938,5.481,243.2,0.798,1,2.44,0.314,12.52,46.6,18.82,513.9,1.0,4468.0,4449.1,3.5,0.982,0.185,4,46.65,48.58,True,synthetic_field_prototype
BGW-036,operational,13.869,0.35,200.1,0.91,5,2.557,0.262,16.0,49.5,18.55,685.9,1.0,3014.8,3738.7,2.875,0.946,0.096,7,33.17,57.25,True,synthetic_field_prototype
BGW-037,non_producing,10.838,8.244,223.3,0.892,1,2.463,0.275,13.25,50.4,17.16,704.5,0.875,3683.7,4199.9,3.5,0.979,0.233,6,56.22,66.92,True,synthetic_field_prototype
BGW-038,operational,5.367,0.298,256.0,0.845,4,1.969,0.26,11.8,47.6,18.04,591.1,1.0,4569.2,3318.9,2.375,0.984,0.086,2,59.27,64.86,True,synthetic_field_prototype
BGW-039,operational,9.88,1.365,249.1,0.871,4,2.548,0.32,14.28,49.4,18.92,759.7,0.75,3843.1,3927.4,2.875,0.965,0.205,6,27.46,53.75,True,synthetic_field_prototype
BGW-040,operational,4.026,9.443,259.3,0.817,1,2.43,0.27,14.07,43.7,18.25,660.3,0.75,3189.7,3926.1,3.5,0.98,0.219,4,62.67,45.39,True,synthetic_field_prototype
BGW-041,non_producing,1.032,1.188,242.7,0.898,1,2.493,0.3,15.26,50.4,18.07,716.1,0.875,3822.7,3588.9,3.5,0.986,0.09,3,66.47,68.5,True,synthetic_field_prototype
BGW-042,non_producing,8.477,6.81,201.8,0.859,4,2.365,0.285,14.36,50.7,18.28,753.9,0.875,3885.1,3646.0,3.5,0.976,0.245,7,21.06,57.82,True,synthetic_field_prototype
BGW-043,operational,0.857,6.948,218.2,0.811,6,2.599,0.299,11.7,49.4,17.49,542.3,0.75,4112.3,4241.8,3.5,0.947,0.117,6,57.03,73.08,True,synthetic_field_prototype
BGW-044,non_producing,12.631,13.897,205.1,0.897,3,2.599,0.262,9.04,44.1,18.56,801.9,0.75,4504.3,3583.8,2.375,0.971,0.117,5,22.54,61.56,True,synthetic_field_prototype
BGW-045,operational,4.886,9.227,250.9,0.825,5,2.556,0.276,11.8,44.6,17.11,430.5,1.0,3011.7,4078.0,3.5,0.963,0.197,6,23.2,43.66,True,synthetic_field_prototype
BGW-046,operational,9.724,12.474,218.6,0.835,3,2.45,0.243,13.19,50.8,17.86,550.9,1.0,3919.3,4358.1,2.875,0.971,0.148,6,51.75,63.26,True,synthetic_field_prototype
BGW-047,operational,1.594,8.077,239.8,0.798,3,2.398,0.252,9.61,47.5,18.56,708.2,0.875,3147.7,3994.9,2.875,0.956,0.083,5,30.98,55.86,True,synthetic_field_prototype
BGW-048,non_producing,6.398,9.524,249.0,0.889,5,1.891,0.258,12.0,45.9,18.44,673.9,0.875,3967.0,3757.2,2.875,0.98,0.23,3,69.57,65.92,True,synthetic_field_prototype
BGW-049,non_producing,9.129,10.728,230.6,0.914,5,2.066,0.27,9.6,50.5,17.16,855.1,1.0,4586.2,3457.6,2.875,0.937,0.238,5,42.05,44.04,True,synthetic_field_prototype
BGW-050,non_producing,2.188,12.021,227.3,0.89,3,2.03,0.279,15.41,50.2,18.19,740.7,0.75,3550.5,3980.8,2.375,0.951,0.141,6,31.78,75.95,True,synthetic_field_prototype
BGW-051,operational,2.899,10.051,219.5,0.883,5,2.065,0.268,13.51,50.7,18.38,408.1,1.0,3341.3,3723.9,2.375,0.931,0.271,4,42.93,41.33,True,synthetic_field_prototype
BGW-052,non_producing,4.271,7.641,213.5,0.792,2,2.373,0.318,10.65,44.8,18.51,627.1,1.0,3077.0,4477.7,2.375,0.971,0.183,4,65.52,51.88,True,synthetic_field_prototype
