well_id,cycle_num,time_since_injection_end_days,phase,steam_volume_bbl,injection_pressure_psi,steam_quality_frac,soak_duration_days,prior_cycle_count,thermal_conductivity_W_mK,porosity_frac,formation_thickness_m,baseline_reservoir_temp_C,crude_api_gravity,cum_production_bbl,physics_temp_C,temperature_C,viscosity_cP,is_synthetic,data_source
BGW-001,4,37.9,production,1302.2,407.6,0.759,4.75,3,2.373,0.291,17.0,46.26,17.9,561.41,46.449,47.574,42852.19,True,physics_simulated_synthetic
BGW-001,4,38.632,production,1302.2,407.6,0.759,4.75,3,2.373,0.291,17.0,46.26,17.9,573.8,46.396,45.829,50649.67,True,physics_simulated_synthetic
BGW-001,4,40.983,production,1302.2,407.6,0.759,4.75,3,2.373,0.291,17.0,46.26,17.9,613.62,46.301,46.991,45303.69,True,physics_simulated_synthetic
BGW-001,4,45.485,production,1302.2,407.6,0.759,4.75,3,2.373,0.291,17.0,46.26,17.9,689.88,46.26,46.788,46193.05,True,physics_simulated_synthetic
BGW-001,4,46.703,production,1302.2,407.6,0.759,4.75,3,2.373,0.291,17.0,46.26,17.9,710.51,46.258,46.929,45574.02,True,physics_simulated_synthetic
BGW-001,4,49.366,production,1302.2,407.6,0.759,4.75,3,2.373,0.291,17.0,46.26,17.9,755.6,46.256,47.841,41775.02,True,physics_simulated_synthetic
BGW-001,4,49.658,production,1302.2,407.6,0.759,4.75,3,2.373,0.291,17.0,46.26,17.9,760.55,46.256,46.934,45550.05,True,physics_simulated_synthetic
BGW-001,4,53.587,production,1302.2,407.6,0.759,4.75,3,2.373,0.291,17.0,46.26,17.9,827.11,46.256,47.572,42861.67,True,physics_simulated_synthetic
BGW-001,4,55.606,production,1302.2,407.6,0.759,4.75,3,2.373,0.291,17.0,46.26,17.9,861.3,46.256,46.716,46513.28,True,physics_simulated_synthetic
BGW-001,4,58.242,production,1302.2,407.6,0.759,4.75,3,2.373,0.291,17.0,46.26,17.9,905.94,46.256,47.026,45153.1,True,physics_simulated_synthetic
BGW-001,4,1.849,soak,1728.3,384.2,0.688,8.55,3,1.454,0.214,15.36,46.94,18.13,0.0,183.236,183.093,5.0,True,physics_simulated_synthetic
BGW-001,4,3.498,soak,1728.3,384.2,0.688,8.55,3,1.454,0.214,15.36,46.94,18.13,0.0,176.312,176.142,6.83,True,physics_simulated_synthetic
BGW-001,4,12.875,production,1728.3,384.2,0.688,8.55,3,1.454,0.214,15.36,46.94,18.13,43.27,137.276,135.966,58.19,True,physics_simulated_synthetic
BGW-001,4,14.036,production,1728.3,384.2,0.688,8.55,3,1.454,0.214,15.36,46.94,18.13,54.88,132.603,133.65,66.69,True,physics_simulated_synthetic
BGW-001,4,16.883,production,1728.3,384.2,0.688,8.55,3,1.454,0.214,15.36,46.94,18.13,83.36,120.368,120.076,153.19,True,physics_simulated_synthetic
BGW-001,4,17.616,production,1728.3,384.2,0.688,8.55,3,1.454,0.214,15.36,46.94,18.13,90.69,117.248,117.631,179.04,True,physics_simulated_synthetic
BGW-001,4,18.237,production,1728.3,384.2,0.688,8.55,3,1.454,0.214,15.36,46.94,18.13,96.91,114.587,115.625,203.78,True,physics_simulated_synthetic
BGW-001,4,24.383,production,1728.3,384.2,0.688,8.55,3,1.454,0.214,15.36,46.94,18.13,158.39,86.337,87.327,1474.19,True,physics_simulated_synthetic
BGW-001,4,24.512,production,1728.3,384.2,0.688,8.55,3,1.454,0.214,15.36,46.94,18.13,159.68,85.832,87.129,1496.38,True,physics_simulated_synthetic
BGW-001,4,26.203,production,1728.3,384.2,0.688,8.55,3,1.454,0.214,15.36,46.94,18.13,176.6,79.281,79.508,2693.59,True,physics_simulated_synthetic
BGW-001,4,33.215,production,1728.3,384.2,0.688,8.55,3,1.454,0.214,15.36,46.94,18.13,246.74,57.813,57.586,16993.18,True,physics_simulated_synthetic
BGW-001,4,33.422,production,1728.3,384.2,0.688,8.55,3,1.454,0.214,15.36,46.94,18.13,248.81,57.42,57.674,16859.57,True,physics_simulated_synthetic
BGW-001,4,33.552,production,1728.3,384.2,0.688,8.55,3,1.454,0.214,15.36,46.94,18.13,250.12,57.178,55.181,21111.83,True,physics_simulated_synthetic
BGW-001,4,38.083,production,1728.3,384.2,0.688,8.55,3,1.454,0.214,15.36,46.94,18.13,295.44,50.826,49.165,36854.04,True,physics_simulated_synthetic
BGW-001,4,39.715,production,1728.3,384.2,0.688,8.55,3,1.454,0.214,15.36,46.94,18.13,311.77,49.552,48.065,40896.06,True,physics_simulated_synthetic
BGW-001,4,39.859,production,1728.3,384.2,0.688,8.55,3,1.454,0.214,15.36,46.94,18.13,313.2,49.46,48.428,39511.07,True,physics_simulated_synthetic
BGW-001,4,45.9,production,1728.3,384.2,0.688,8.55,3,1.454,0.214,15.36,46.94,18.13,373.64,47.335,48.26,40147.25,True,physics_simulated_synthetic
BGW-001,4,47.034,production,1728.3,384.2,0.688,8.55,3,1.454,0.214,15.36,46.94,18.13,384.98,47.208,46.305,48382.62,True,physics_simulated_synthetic
BGW-001,4,48.841,production,1728.3,384.2,0.688,8.55,3,1.454,0.214,15.36,46.94,18.13,403.06,47.078,46.914,45640.42,True,physics_simulated_synthetic
BGW-001,4,51.204,production,1728.3,384.2,0.688,8.55,3,1.454,0.214,15.36,46.94,18.13,426.7,46.994,49.178,36806.41,True,physics_simulated_synthetic
BGW-002,4,2.497,soak,1747.0,284.8,0.632,4.77,3,2.293,0.255,8.83,46.61,18.16,0.0,171.503,173.474,7.78,True,physics_simulated_synthetic
BGW-002,4,5.067,production,1747.0,284.8,0.632,4.77,3,2.293,0.255,8.83,46.61,18.16,4.46,154.021,154.244,20.89,True,physics_simulated_synthetic
BGW-002,4,6.204,production,1747.0,284.8,0.632,4.77,3,2.293,0.255,8.83,46.61,18.16,21.63,146.917,147.777,29.71,True,physics_simulated_synthetic
BGW-002,4,8.671,production,1747.0,284.8,0.632,4.77,3,2.293,0.255,8.83,46.61,18.16,58.86,132.061,134.783,62.38,True,physics_simulated_synthetic
BGW-002,4,10.236,production,1747.0,284.8,0.632,4.77,3,2.293,0.255,8.83,46.61,18.16,82.46,123.114,126.57,102.19,True,physics_simulated_synthetic
BGW-002,4,10.606,production,1747.0,284.8,0.632,4.77,3,2.293,0.255,8.83,46.61,18.16,88.06,121.062,126.14,104.92,True,physics_simulated_synthetic
BGW-002,4,19.792,production,1747.0,284.8,0.632,4.77,3,2.293,0.255,8.83,46.61,18.16,226.67,72.18,78.541,2907.3,True,physics_simulated_synthetic
BGW-002,4,20.812,production,1747.0,284.8,0.632,4.77,3,2.293,0.255,8.83,46.61,18.16,242.08,68.596,71.459,5154.82,True,physics_simulated_synthetic
BGW-002,4,24.948,production,1747.0,284.8,0.632,4.77,3,2.293,0.255,8.83,46.61,18.16,304.5,56.983,57.88,16550.67,True,physics_simulated_synthetic
BGW-002,4,25.926,production,1747.0,284.8,0.632,4.77,3,2.293,0.255,8.83,46.61,18.16,319.24,55.101,54.399,22670.88,True,physics_simulated_synthetic
BGW-002,4,29.639,production,1747.0,284.8,0.632,4.77,3,2.293,0.255,8.83,46.61,18.16,375.29,50.057,52.715,26462.41,True,physics_simulated_synthetic
BGW-002,4,34.864,production,1747.0,284.8,0.632,4.77,3,2.293,0.255,8.83,46.61,18.16,454.13,47.273,48.417,39552.49,True,physics_simulated_synthetic
BGW-002,4,35.046,production,1747.0,284.8,0.632,4.77,3,2.293,0.255,8.83,46.61,18.16,456.88,47.232,48.933,37667.19,True,physics_simulated_synthetic
BGW-002,4,35.259,production,1747.0,284.8,0.632,4.77,3,2.293,0.255,8.83,46.61,18.16,460.09,47.188,48.613,38824.41,True,physics_simulated_synthetic
BGW-002,4,37.639,production,1747.0,284.8,0.632,4.77,3,2.293,0.255,8.83,46.61,18.16,496.0,46.845,48.93,37679.2,True,physics_simulated_synthetic
BGW-002,4,38.991,production,1747.0,284.8,0.632,4.77,3,2.293,0.255,8.83,46.61,18.16,516.41,46.745,50.52,32448.03,True,physics_simulated_synthetic
BGW-002,4,43.168,production,1747.0,284.8,0.632,4.77,3,2.293,0.255,8.83,46.61,18.16,579.44,46.63,49.132,36966.68,True,physics_simulated_synthetic
BGW-002,4,45.511,production,1747.0,284.8,0.632,4.77,3,2.293,0.255,8.83,46.61,18.16,614.81,46.617,48.677,38590.27,True,physics_simulated_synthetic
BGW-002,4,51.397,production,1747.0,284.8,0.632,4.77,3,2.293,0.255,8.83,46.61,18.16,703.63,46.612,47.445,43384.0,True,physics_simulated_synthetic
BGW-002,4,55.507,production,1747.0,284.8,0.632,4.77,3,2.293,0.255,8.83,46.61,18.16,765.66,46.612,46.55,47258.93,True,physics_simulated_synthetic
BGW-003,4,2.695,soak,1050.0,347.8,0.768,10.15,3,1.419,0.31,9.22,46.07,18.11,0.0,176.907,176.656,6.66,True,physics_simulated_synthetic
BGW-003,4,9.876,soak,1050.0,347.8,0.768,10.15,3,1.419,0.31,9.22,46.07,18.11,0.0,146.468,145.268,34.16,True,physics_simulated_synthetic
BGW-003,4,15.358,production,1050.0,347.8,0.768,10.15,3,1.419,0.31,9.22,46.07,18.11,83.03,121.497,121.847,137.0,True,physics_simulated_synthetic
BGW-003,4,17.455,production,1050.0,347.8,0.768,10.15,3,1.419,0.31,9.22,46.07,18.11,116.46,111.648,110.104,292.99,True,physics_simulated_synthetic
BGW-003,4,18.956,production,1050.0,347.8,0.768,10.15,3,1.419,0.31,9.22,46.07,18.11,140.38,104.475,100.96,547.37,True,physics_simulated_synthetic
BGW-003,4,19.028,production,1050.0,347.8,0.768,10.15,3,1.419,0.31,9.22,46.07,18.11,141.53,104.136,100.421,568.48,True,physics_simulated_synthetic
BGW-003,4,22.255,production,1050.0,347.8,0.768,10.15,3,1.419,0.31,9.22,46.07,18.11,192.97,88.197,88.708,1328.89,True,physics_simulated_synthetic
BGW-003,4,26.106,production,1050.0,347.8,0.768,10.15,3,1.419,0.31,9.22,46.07,18.11,254.35,71.115,71.728,5041.59,True,physics_simulated_synthetic
BGW-003,4,30.903,production,1050.0,347.8,0.768,10.15,3,1.419,0.31,9.22,46.07,18.11,330.82,56.147,54.096,23308.17,True,physics_simulated_synthetic
BGW-003,4,31.132,production,1050.0,347.8,0.768,10.15,3,1.419,0.31,9.22,46.07,18.11,334.46,55.674,53.337,24987.91,True,physics_simulated_synthetic
BGW-003,4,44.916,production,1050.0,347.8,0.768,10.15,3,1.419,0.31,9.22,46.07,18.11,554.19,46.122,46.368,48091.11,True,physics_simulated_synthetic
BGW-003,4,46.321,production,1050.0,347.8,0.768,10.15,3,1.419,0.31,9.22,46.07,18.11,576.57,46.098,45.075,54474.11,True,physics_simulated_synthetic
BGW-003,4,48.495,production,1050.0,347.8,0.768,10.15,3,1.419,0.31,9.22,46.07,18.11,611.23,46.082,45.075,54474.11,True,physics_simulated_synthetic
BGW-003,4,49.787,production,1050.0,347.8,0.768,10.15,3,1.419,0.31,9.22,46.07,18.11,631.83,46.078,45.179,53928.64,True,physics_simulated_synthetic
BGW-003,4,53.448,production,1050.0,347.8,0.768,10.15,3,1.419,0.31,9.22,46.07,18.11,690.17,46.075,45.075,54474.11,True,physics_simulated_synthetic
BGW-003,4,53.501,production,1050.0,347.8,0.768,10.15,3,1.419,0.31,9.22,46.07,18.11,691.02,46.075,45.075,54474.11,True,physics_simulated_synthetic
BGW-003,4,53.607,production,1050.0,347.8,0.768,10.15,3,1.419,0.31,9.22,46.07,18.11,692.71,46.075,45.075,54474.11,True,physics_simulated_synthetic
BGW-003,4,56.163,production,1050.0,347.8,0.768,10.15,3,1.419,0.31,9.22,46.07,18.11,733.45,46.075,45.075,54474.11,True,physics_simulated_synthetic
BGW-003,4,57.174,production,1050.0,347.8,0.768,10.15,3,1.419,0.31,9.22,46.07,18.11,749.57,46.075,46.245,48660.49,True,physics_simulated_synthetic
BGW-003,4,59.543,production,1050.0,347.8,0.768,10.15,3,1.419,0.31,9.22,46.07,18.11,787.33,46.075,45.075,54474.11,True,physics_simulated_synthetic
BGW-004,4,1.492,soak,794.9,301.9,0.758,8.65,3,1.52,0.296,16.02,47.48,17.26,0.0,158.34,158.9,16.32,True,physics_simulated_synthetic
BGW-004,4,6.354,soak,794.9,301.9,0.758,8.65,3,1.52,0.296,16.02,47.48,17.26,0.0,142.554,144.36,35.95,True,physics_simulated_synthetic
BGW-004,4,7.425,soak,794.9,301.9,0.758,8.65,3,1.52,0.296,16.02,47.48,17.26,0.0,139.39,138.486,50.25,True,physics_simulated_synthetic
BGW-004,4,8.42,soak,794.9,301.9,0.758,8.65,3,1.52,0.296,16.02,47.48,17.26,0.0,136.545,135.747,58.94,True,physics_simulated_synthetic
BGW-004,4,17.187,production,794.9,301.9,0.758,8.65,3,1.52,0.296,16.02,47.48,17.26,148.7,99.081,96.192,767.63,True,physics_simulated_synthetic
BGW-004,4,18.057,production,794.9,301.9,0.758,8.65,3,1.52,0.296,16.02,47.48,17.26,163.86,95.496,95.386,813.51,True,physics_simulated_synthetic
BGW-004,4,23.855,production,794.9,301.9,0.758,8.65,3,1.52,0.296,16.02,47.48,17.26,264.84,70.773,69.403,6113.91,True,physics_simulated_synthetic
BGW-004,4,25.147,production,794.9,301.9,0.758,8.65,3,1.52,0.296,16.02,47.48,17.26,287.35,66.568,65.944,8186.04,True,physics_simulated_synthetic
BGW-004,4,28.043,production,794.9,301.9,0.758,8.65,3,1.52,0.296,16.02,47.48,17.26,337.79,58.634,57.523,17088.02,True,physics_simulated_synthetic
BGW-004,4,29.315,production,794.9,301.9,0.758,8.65,3,1.52,0.296,16.02,47.48,17.26,359.94,56.016,56.002,19597.36,True,physics_simulated_synthetic
BGW-004,4,33.312,production,794.9,301.9,0.758,8.65,3,1.52,0.296,16.02,47.48,17.26,429.56,50.489,48.146,40584.61,True,physics_simulated_synthetic
BGW-004,4,35.763,production,794.9,301.9,0.758,8.65,3,1.52,0.296,16.02,47.48,17.26,472.24,48.879,46.942,45516.27,True,physics_simulated_synthetic
BGW-004,4,38.039,production,794.9,301.9,0.758,8.65,3,1.52,0.296,16.02,47.48,17.26,511.88,48.099,51.198,30459.09,True,physics_simulated_synthetic
BGW-004,4,39.772,production,794.9,301.9,0.758,8.65,3,1.52,0.296,16.02,47.48,17.26,542.07,47.791,46.478,47585.78,True,physics_simulated_synthetic
BGW-004,4,48.262,production,794.9,301.9,0.758,8.65,3,1.52,0.296,16.02,47.48,17.26,689.94,47.481,46.478,47585.78,True,physics_simulated_synthetic
BGW-004,4,55.489,production,794.9,301.9,0.758,8.65,3,1.52,0.296,16.02,47.48,17.26,815.81,47.478,50.167,33538.04,True,physics_simulated_synthetic
BGW-004,4,55.654,production,794.9,301.9,0.758,8.65,3,1.52,0.296,16.02,47.48,17.26,818.69,47.478,51.663,29169.73,True,physics_simulated_synthetic
BGW-004,4,55.981,production,794.9,301.9,0.758,8.65,3,1.52,0.296,16.02,47.48,17.26,824.4,47.478,46.478,47585.78,True,physics_simulated_synthetic
BGW-004,4,57.337,production,794.9,301.9,0.758,8.65,3,1.52,0.296,16.02,47.48,17.26,848.01,47.478,47.08,44920.63,True,physics_simulated_synthetic
BGW-004,4,57.974,production,794.9,301.9,0.758,8.65,3,1.52,0.296,16.02,47.48,17.26,859.1,47.478,48.074,40862.99,True,physics_simulated_synthetic
BGW-004,5,2.609,soak,1096.5,193.2,0.826,5.32,4,1.613,0.218,7.62,46.04,17.11,0.0,153.014,154.265,20.87,True,physics_simulated_synthetic
BGW-004,5,2.955,soak,1096.5,193.2,0.826,5.32,4,1.613,0.218,7.62,46.04,17.11,0.0,151.363,149.5,27.02,True,physics_simulated_synthetic
BGW-004,5,3.203,soak,1096.5,193.2,0.826,5.32,4,1.613,0.218,7.62,46.04,17.11,0.0,150.199,152.077,23.48,True,physics_simulated_synthetic
BGW-004,5,6.1,production,1096.5,193.2,0.826,5.32,4,1.613,0.218,7.62,46.04,17.11,6.69,137.374,138.589,49.95,True,physics_simulated_synthetic
BGW-004,5,10.478,production,1096.5,193.2,0.826,5.32,4,1.613,0.218,7.62,46.04,17.11,44.45,119.199,118.224,172.37,True,physics_simulated_synthetic
BGW-004,5,10.89,production,1096.5,193.2,0.826,5.32,4,1.613,0.218,7.62,46.04,17.11,48.0,117.6,117.52,180.33,True,physics_simulated_synthetic
BGW-004,5,14.205,production,1096.5,193.2,0.826,5.32,4,1.613,0.218,7.62,46.04,17.11,76.58,104.555,105.503,399.75,True,physics_simulated_synthetic
BGW-004,5,14.963,production,1096.5,193.2,0.826,5.32,4,1.613,0.218,7.62,46.04,17.11,83.12,101.713,102.365,496.26,True,physics_simulated_synthetic
BGW-004,5,19.079,production,1096.5,193.2,0.826,5.32,4,1.613,0.218,7.62,46.04,17.11,118.62,86.32,86.491,1570.38,True,physics_simulated_synthetic
BGW-004,5,22.417,production,1096.5,193.2,0.826,5.32,4,1.613,0.218,7.62,46.04,17.11,147.4,75.183,75.618,3672.23,True,physics_simulated_synthetic
BGW-004,5,23.618,production,1096.5,193.2,0.826,5.32,4,1.613,0.218,7.62,46.04,17.11,157.76,71.64,71.867,4984.27,True,physics_simulated_synthetic
BGW-004,5,24.976,production,1096.5,193.2,0.826,5.32,4,1.613,0.218,7.62,46.04,17.11,169.47,67.901,68.694,6487.89,True,physics_simulated_synthetic
BGW-004,5,30.272,production,1096.5,193.2,0.826,5.32,4,1.613,0.218,7.62,46.04,17.11,215.13,56.109,58.748,15317.72,True,physics_simulated_synthetic
BGW-004,5,31.425,production,1096.5,193.2,0.826,5.32,4,1.613,0.218,7.62,46.04,17.11,225.08,54.347,51.333,30078.55,True,physics_simulated_synthetic
BGW-004,5,34.274,production,1096.5,193.2,0.826,5.32,4,1.613,0.218,7.62,46.04,17.11,249.65,50.907,51.155,30581.4,True,physics_simulated_synthetic
BGW-004,5,35.469,production,1096.5,193.2,0.826,5.32,4,1.613,0.218,7.62,46.04,17.11,259.95,49.854,50.68,31965.82,True,physics_simulated_synthetic
BGW-004,5,40.843,production,1096.5,193.2,0.826,5.32,4,1.613,0.218,7.62,46.04,17.11,306.3,47.051,48.044,40977.11,True,physics_simulated_synthetic
BGW-004,5,50.008,production,1096.5,193.2,0.826,5.32,4,1.613,0.218,7.62,46.04,17.11,385.33,46.084,46.142,49144.03,True,physics_simulated_synthetic
BGW-004,5,51.068,production,1096.5,193.2,0.826,5.32,4,1.613,0.218,7.62,46.04,17.11,394.47,46.069,45.042,54645.88,True,physics_simulated_synthetic
BGW-004,5,52.5,production,1096.5,193.2,0.826,5.32,4,1.613,0.218,7.62,46.04,17.11,406.82,46.057,47.096,44853.11,True,physics_simulated_synthetic
BGW-005,2,5.07,soak,1188.0,259.9,0.648,7.04,1,2.054,0.236,19.28,47.83,17.96,0.0,149.952,153.179,22.12,True,physics_simulated_synthetic
BGW-005,2,5.706,soak,1188.0,259.9,0.648,7.04,1,2.054,0.236,19.28,47.83,17.96,0.0,147.486,149.49,27.04,True,physics_simulated_synthetic
BGW-005,2,7.926,production,1188.0,259.9,0.648,7.04,1,2.054,0.236,19.28,47.83,17.96,15.68,139.035,139.168,48.31,True,physics_simulated_synthetic
BGW-005,2,8.244,production,1188.0,259.9,0.648,7.04,1,2.054,0.236,19.28,47.83,17.96,21.29,137.854,137.546,53.07,True,physics_simulated_synthetic
BGW-005,2,12.144,production,1188.0,259.9,0.648,7.04,1,2.054,0.236,19.28,47.83,17.96,89.96,121.322,122.479,131.67,True,physics_simulated_synthetic
BGW-005,2,17.289,production,1188.0,259.9,0.648,7.04,1,2.054,0.236,19.28,47.83,17.96,180.57,96.377,95.785,790.41,True,physics_simulated_synthetic
BGW-005,2,19.702,production,1188.0,259.9,0.648,7.04,1,2.054,0.236,19.28,47.83,17.96,223.06,85.332,85.504,1692.6,True,physics_simulated_synthetic
BGW-005,2,31.963,production,1188.0,259.9,0.648,7.04,1,2.054,0.236,19.28,47.83,17.96,438.99,50.092,51.64,29230.91,True,physics_simulated_synthetic
BGW-005,2,32.126,production,1188.0,259.9,0.648,7.04,1,2.054,0.236,19.28,47.83,17.96,441.86,49.986,52.715,26462.67,True,physics_simulated_synthetic
BGW-005,2,36.863,production,1188.0,259.9,0.648,7.04,1,2.054,0.236,19.28,47.83,17.96,525.27,48.227,50.19,33465.48,True,physics_simulated_synthetic
BGW-005,2,37.975,production,1188.0,259.9,0.648,7.04,1,2.054,0.236,19.28,47.83,17.96,544.86,48.084,46.833,45995.53,True,physics_simulated_synthetic
BGW-005,2,39.155,production,1188.0,259.9,0.648,7.04,1,2.054,0.236,19.28,47.83,17.96,565.64,47.984,49.522,35634.91,True,physics_simulated_synthetic
BGW-005,2,41.688,production,1188.0,259.9,0.648,7.04,1,2.054,0.236,19.28,47.83,17.96,610.25,47.878,49.09,37113.73,True,physics_simulated_synthetic
BGW-005,2,43.543,production,1188.0,259.9,0.648,7.04,1,2.054,0.236,19.28,47.83,17.96,642.91,47.85,49.541,35571.33,True,physics_simulated_synthetic
BGW-005,2,44.094,production,1188.0,259.9,0.648,7.04,1,2.054,0.236,19.28,47.83,17.96,652.61,47.845,51.219,30397.51,True,physics_simulated_synthetic
BGW-005,2,48.264,production,1188.0,259.9,0.648,7.04,1,2.054,0.236,19.28,47.83,17.96,726.05,47.834,46.833,45995.53,True,physics_simulated_synthetic
BGW-005,2,50.914,production,1188.0,259.9,0.648,7.04,1,2.054,0.236,19.28,47.83,17.96,772.72,47.833,48.117,40696.64,True,physics_simulated_synthetic
BGW-005,2,51.643,production,1188.0,259.9,0.648,7.04,1,2.054,0.236,19.28,47.83,17.96,785.56,47.833,49.771,34807.46,True,physics_simulated_synthetic
BGW-005,2,56.156,production,1188.0,259.9,0.648,7.04,1,2.054,0.236,19.28,47.83,17.96,865.05,47.833,46.833,45995.53,True,physics_simulated_synthetic
BGW-005,2,57.533,production,1188.0,259.9,0.648,7.04,1,2.054,0.236,19.28,47.83,17.96,889.28,47.833,51.01,30995.38,True,physics_simulated_synthetic
BGW-005,4,7.109,production,1269.8,382.3,0.751,6.67,3,2.288,0.292,9.79,46.73,17.63,3.58,143.689,147.558,30.08,True,physics_simulated_synthetic
BGW-005,4,7.315,production,1269.8,382.3,0.751,6.67,3,2.288,0.292,9.79,46.73,17.63,5.26,142.562,142.354,40.26,True,physics_simulated_synthetic
BGW-005,4,8.867,production,1269.8,382.3,0.751,6.67,3,2.288,0.292,9.79,46.73,17.63,17.91,134.308,134.591,63.09,True,physics_simulated_synthetic
BGW-005,4,9.457,production,1269.8,382.3,0.751,6.67,3,2.288,0.292,9.79,46.73,17.63,22.71,131.311,131.104,77.62,True,physics_simulated_synthetic
BGW-005,4,22.582,production,1269.8,382.3,0.751,6.67,3,2.288,0.292,9.79,46.73,17.63,129.65,72.093,73.016,4535.82,True,physics_simulated_synthetic
BGW-005,4,22.999,production,1269.8,382.3,0.751,6.67,3,2.288,0.292,9.79,46.73,17.63,133.05,70.916,73.566,4336.52,True,physics_simulated_synthetic
BGW-005,4,26.274,production,1269.8,382.3,0.751,6.67,3,2.288,0.292,9.79,46.73,17.63,159.74,62.629,65.398,8576.66,True,physics_simulated_synthetic
BGW-005,4,28.762,production,1269.8,382.3,0.751,6.67,3,2.288,0.292,9.79,46.73,17.63,180.01,57.783,60.204,13464.1,True,physics_simulated_synthetic
BGW-005,4,33.18,production,1269.8,382.3,0.751,6.67,3,2.288,0.292,9.79,46.73,17.63,216.0,51.823,51.88,28587.23,True,physics_simulated_synthetic
BGW-005,4,35.295,production,1269.8,382.3,0.751,6.67,3,2.288,0.292,9.79,46.73,17.63,233.24,50.068,48.869,37898.31,True,physics_simulated_synthetic
BGW-005,4,38.224,production,1269.8,382.3,0.751,6.67,3,2.288,0.292,9.79,46.73,17.63,257.1,48.458,50.569,32300.12,True,physics_simulated_synthetic
BGW-005,4,41.166,production,1269.8,382.3,0.751,6.67,3,2.288,0.292,9.79,46.73,17.63,281.07,47.546,48.921,37712.44,True,physics_simulated_synthetic
BGW-005,4,43.066,production,1269.8,382.3,0.751,6.67,3,2.288,0.292,9.79,46.73,17.63,296.55,47.21,49.888,34428.45,True,physics_simulated_synthetic
BGW-005,4,43.781,production,1269.8,382.3,0.751,6.67,3,2.288,0.292,9.79,46.73,17.63,302.38,47.119,50.137,33633.24,True,physics_simulated_synthetic
BGW-005,4,46.818,production,1269.8,382.3,0.751,6.67,3,2.288,0.292,9.79,46.73,17.63,327.12,46.877,49.105,37060.55,True,physics_simulated_synthetic
BGW-005,4,51.032,production,1269.8,382.3,0.751,6.67,3,2.288,0.292,9.79,46.73,17.63,361.45,46.76,49.859,34521.94,True,physics_simulated_synthetic
BGW-005,4,56.168,production,1269.8,382.3,0.751,6.67,3,2.288,0.292,9.79,46.73,17.63,403.3,46.732,49.088,37122.52,True,physics_simulated_synthetic
BGW-005,4,56.168,production,1269.8,382.3,0.751,6.67,3,2.288,0.292,9.79,46.73,17.63,403.3,46.732,49.509,35677.64,True,physics_simulated_synthetic
BGW-005,4,57.072,production,1269.8,382.3,0.751,6.67,3,2.288,0.292,9.79,46.73,17.63,410.66,46.731,47.779,42023.57,True,physics_simulated_synthetic
BGW-005,4,59.198,production,1269.8,382.3,0.751,6.67,3,2.288,0.292,9.79,46.73,17.63,427.99,46.729,48.513,39196.28,True,physics_simulated_synthetic
BGW-005,4,2.409,soak,917.1,423.2,0.747,4.29,3,1.306,0.206,14.48,47.6,17.48,0.0,180.344,182.929,5.0,True,physics_simulated_synthetic
BGW-005,4,3.434,soak,917.1,423.2,0.747,4.29,3,1.306,0.206,14.48,47.6,17.48,0.0,176.377,176.955,6.57,True,physics_simulated_synthetic
BGW-005,4,7.495,production,917.1,423.2,0.747,4.29,3,1.306,0.206,14.48,47.6,17.48,49.18,159.752,162.452,13.56,True,physics_simulated_synthetic
