well_id,viscosity_cP,fluid_level_m,spm,stroke_length_in,vfd_frequency_hz,rod_string_diameter_in,rod_string_length_ft,pump_depth_ft,tubing_size_in,fluid_specific_gravity,pprl_physics_lbs,efficiency_physics_frac,peak_polished_rod_load_lbs,pump_efficiency_pct,energy_kwh_per_bbl,energy_kwh_per_stroke,actual_bopd,is_synthetic,data_source
BGW-001,169.81,1103.2,4.981,128.19,47.82,1.0,3316.2,3811.5,2.375,0.987,15877.5,0.7283,15869.6,71.47,1.5804,0.042821,194.32,True,physics_simulated_synthetic
BGW-001,3513.61,1045.9,3.166,85.09,52.61,1.0,3316.2,3811.5,2.375,0.916,15632.6,0.4868,15952.0,37.83,2.7282,0.028572,47.75,True,physics_simulated_synthetic
BGW-001,170.5,316.1,3.042,71.9,43.89,1.0,3316.2,3811.5,2.375,0.961,15782.6,0.7581,15785.8,73.79,1.659,0.023891,63.08,True,physics_simulated_synthetic
BGW-001,3147.26,765.7,7.1,129.93,39.41,1.0,3316.2,3811.5,2.375,0.948,15757.3,0.4572,16030.3,39.38,3.5159,0.043842,127.48,True,physics_simulated_synthetic
BGW-001,87.87,1023.4,3.722,140.63,57.21,1.0,3316.2,3811.5,2.375,0.985,15867.4,0.7875,16011.6,77.75,1.2253,0.047398,207.35,True,physics_simulated_synthetic
BGW-001,2422.69,1068.5,4.571,79.4,34.1,1.0,3316.2,3811.5,2.375,0.964,15796.8,0.5015,16165.3,41.39,3.898,0.027019,45.62,True,physics_simulated_synthetic
BGW-001,176.41,1137.4,7.961,103.3,40.32,1.0,3316.2,3811.5,2.375,0.926,15684.7,0.684,15637.3,69.9,1.8885,0.034004,206.43,True,physics_simulated_synthetic
BGW-001,2768.61,1140.1,5.912,90.6,48.33,1.0,3316.2,3811.5,2.375,0.937,15712.7,0.4777,15997.1,37.73,2.9861,0.030508,86.98,True,physics_simulated_synthetic
BGW-001,99.13,1030.8,6.12,123.17,31.06,1.0,3316.2,3811.5,2.375,0.969,15821.4,0.7438,15860.0,73.42,2.367,0.041119,153.1,True,physics_simulated_synthetic
BGW-001,165.08,897.0,5.004,129.01,31.37,1.0,3316.2,3811.5,2.375,0.902,15593.4,0.73,15675.2,71.69,2.3726,0.042567,129.28,True,physics_simulated_synthetic
BGW-001,9157.09,1175.8,3.35,132.0,52.73,1.0,3316.2,3811.5,2.375,0.955,15766.5,0.42,16862.1,26.76,4.0671,0.046854,55.57,True,physics_simulated_synthetic
BGW-001,1796.81,891.3,2.619,78.47,37.19,1.0,3316.2,3811.5,2.375,0.989,15878.8,0.5484,16288.4,50.25,2.9666,0.026905,34.21,True,physics_simulated_synthetic
BGW-001,3398.12,372.6,7.12,134.11,44.05,1.0,3316.2,3811.5,2.375,0.92,15664.4,0.4515,16122.2,36.52,3.4112,0.045511,136.79,True,physics_simulated_synthetic
BGW-001,75.32,574.1,7.739,116.81,54.36,1.0,3316.2,3811.5,2.375,0.948,15760.0,0.733,15704.9,75.33,1.3054,0.038614,329.62,True,physics_simulated_synthetic
BGW-001,22930.04,491.8,7.28,109.0,40.24,1.0,3316.2,3811.5,2.375,0.913,15639.8,0.3424,16697.1,13.26,10.6503,0.038311,37.71,True,physics_simulated_synthetic
BGW-001,2856.48,829.2,6.635,64.44,48.76,1.0,3316.2,3811.5,2.375,0.909,15615.5,0.4685,15782.1,40.67,2.7088,0.021407,75.5,True,physics_simulated_synthetic
BGW-001,980.59,873.5,3.966,72.61,53.62,1.0,3316.2,3811.5,2.375,0.979,15847.5,0.5879,16091.1,52.66,1.9398,0.024592,72.41,True,physics_simulated_synthetic
BGW-001,5020.99,549.6,4.469,118.96,34.06,1.0,3316.2,3811.5,2.375,0.984,15868.1,0.4483,16248.8,33.82,4.8017,0.040687,54.53,True,physics_simulated_synthetic
BGW-001,662.73,453.2,4.679,74.23,43.86,1.0,3316.2,3811.5,2.375,0.999,15914.7,0.616,16092.8,60.58,2.0614,0.025145,82.18,True,physics_simulated_synthetic
BGW-001,70.22,430.3,6.951,99.68,37.01,1.0,3316.2,3811.5,2.375,0.972,15833.0,0.7472,15759.8,72.88,1.9887,0.033067,166.43,True,physics_simulated_synthetic
BGW-001,116.47,207.2,3.026,93.32,33.07,1.0,3316.2,3811.5,2.375,0.979,15846.0,0.7836,15930.4,77.5,2.1155,0.031294,64.47,True,physics_simulated_synthetic
BGW-001,413.55,663.0,5.103,127.8,48.1,1.0,3316.2,3811.5,2.375,0.928,15682.5,0.6542,15852.7,63.82,1.7579,0.042647,178.28,True,physics_simulated_synthetic
BGW-001,11998.23,213.9,4.001,86.88,54.74,1.0,3316.2,3811.5,2.375,0.904,15595.7,0.3989,16394.1,23.11,4.4114,0.02998,39.15,True,physics_simulated_synthetic
BGW-001,608.32,320.0,4.35,86.49,50.5,1.0,3316.2,3811.5,2.375,0.987,15875.2,0.6283,16106.6,61.63,1.7615,0.029324,104.27,True,physics_simulated_synthetic
BGW-001,213.56,812.1,6.651,131.53,33.43,1.0,3316.2,3811.5,2.375,0.914,15641.3,0.6881,15643.5,67.19,2.3705,0.043313,175.0,True,physics_simulated_synthetic
BGW-001,103.66,724.3,4.48,89.67,48.02,1.0,3316.2,3811.5,2.375,0.98,15852.0,0.7666,15978.8,74.35,1.5234,0.030159,127.72,True,physics_simulated_synthetic
BGW-001,6142.13,338.2,4.189,101.14,34.05,1.0,3316.2,3811.5,2.375,0.941,15721.7,0.4375,16410.0,29.48,5.5643,0.034936,37.88,True,physics_simulated_synthetic
BGW-001,1234.7,1047.9,3.14,89.5,55.41,1.0,3316.2,3811.5,2.375,0.926,15666.7,0.5764,15853.1,53.0,1.8375,0.029868,73.51,True,physics_simulated_synthetic
BGW-001,1978.94,678.3,7.851,114.3,42.47,1.0,3316.2,3811.5,2.375,0.998,15926.8,0.4853,16490.6,39.16,3.3747,0.039675,132.91,True,physics_simulated_synthetic
BGW-001,1306.12,250.9,3.678,106.94,55.78,1.0,3316.2,3811.5,2.375,0.919,15646.7,0.5647,16014.8,50.0,1.9544,0.03605,97.7,True,physics_simulated_synthetic
BGW-001,197.6,325.1,5.741,103.58,30.94,1.0,3316.2,3811.5,2.375,0.977,15846.4,0.7065,15948.4,70.62,2.4842,0.034772,115.72,True,physics_simulated_synthetic
BGW-001,293.61,850.8,6.231,117.95,51.21,1.0,3316.2,3811.5,2.375,0.948,15752.1,0.6688,15855.8,65.68,1.6046,0.039367,220.14,True,physics_simulated_synthetic
BGW-001,221.64,426.4,7.492,66.96,50.51,1.0,3316.2,3811.5,2.375,0.946,15743.1,0.6741,15674.6,65.1,1.6226,0.022092,146.89,True,physics_simulated_synthetic
BGW-001,261.88,1030.1,2.76,141.68,50.08,1.0,3316.2,3811.5,2.375,0.983,15859.5,0.7285,16104.9,72.82,1.5032,0.04803,126.97,True,physics_simulated_synthetic
BGW-001,220.05,594.5,3.836,105.8,56.2,1.0,3316.2,3811.5,2.375,0.931,15686.2,0.7263,15613.3,69.01,1.3704,0.034771,140.15,True,physics_simulated_synthetic
BGW-001,1701.47,403.8,6.42,101.95,53.74,1.0,3316.2,3811.5,2.375,0.974,15838.0,0.5115,16013.8,43.4,2.3369,0.034366,135.95,True,physics_simulated_synthetic
BGW-001,7741.11,777.7,7.09,67.81,43.93,1.0,3316.2,3811.5,2.375,0.937,15711.6,0.3988,16268.2,26.02,4.8448,0.02322,48.93,True,physics_simulated_synthetic
BGW-001,60.66,665.6,7.96,134.58,34.74,1.0,3316.2,3811.5,2.375,0.982,15878.9,0.7381,16013.0,75.59,2.0755,0.045362,250.53,True,physics_simulated_synthetic
BGW-001,657.27,632.6,7.569,95.91,43.49,1.0,3316.2,3811.5,2.375,0.953,15771.7,0.5822,16016.4,55.97,2.2396,0.032336,157.37,True,physics_simulated_synthetic
BGW-001,56.57,1139.9,5.674,68.13,37.05,1.0,3316.2,3811.5,2.375,0.901,15587.2,0.7747,15588.5,78.18,1.8319,0.022356,99.7,True,physics_simulated_synthetic
BGW-001,312.49,971.7,4.523,129.98,57.38,1.0,3316.2,3811.5,2.375,0.927,15677.8,0.687,15878.5,70.01,1.3454,0.043445,210.32,True,physics_simulated_synthetic
BGW-001,77.78,745.6,5.237,67.76,42.39,1.0,3316.2,3811.5,2.375,0.917,15641.0,0.7689,15591.5,78.18,1.6014,0.022239,104.73,True,physics_simulated_synthetic
BGW-001,4218.38,963.7,4.808,124.42,40.21,1.0,3316.2,3811.5,2.375,0.959,15784.7,0.4572,16309.5,37.14,3.7171,0.042716,79.56,True,physics_simulated_synthetic
BGW-001,738.52,981.1,5.976,111.02,45.78,1.0,3316.2,3811.5,2.375,0.914,15636.5,0.5901,15851.8,55.13,2.138,0.037046,149.11,True,physics_simulated_synthetic
BGW-001,1117.03,636.1,3.348,122.54,40.71,1.0,3316.2,3811.5,2.375,0.914,15629.6,0.5832,16047.6,54.98,2.4405,0.041395,81.77,True,physics_simulated_synthetic
BGW-001,2968.62,797.1,2.672,111.2,53.54,1.0,3316.2,3811.5,2.375,0.936,15701.0,0.5053,16199.0,41.15,2.5025,0.037917,58.29,True,physics_simulated_synthetic
BGW-001,1142.68,855.3,2.828,129.14,49.48,1.0,3316.2,3811.5,2.375,0.93,15682.5,0.5876,15916.8,53.46,2.0481,0.043266,86.04,True,physics_simulated_synthetic
BGW-001,20787.41,245.6,4.173,75.86,32.74,1.0,3316.2,3811.5,2.375,0.92,15649.1,0.3692,16399.3,19.01,8.9663,0.026189,17.55,True,physics_simulated_synthetic
BGW-001,11928.52,1010.9,3.547,91.49,56.52,1.0,3316.2,3811.5,2.375,0.934,15696.3,0.403,16424.9,23.82,4.1528,0.031631,38.91,True,physics_simulated_synthetic
BGW-001,28903.65,1103.9,7.828,99.62,30.37,1.0,3316.2,3811.5,2.375,0.901,15601.1,0.329,16448.9,13.03,14.1537,0.034492,27.47,True,physics_simulated_synthetic
BGW-001,21993.9,909.3,7.217,84.72,59.0,1.0,3316.2,3811.5,2.375,0.928,15686.4,0.3447,16795.9,17.04,5.6849,0.029952,54.75,True,physics_simulated_synthetic
BGW-001,75.93,1188.6,7.199,128.72,56.41,1.0,3316.2,3811.5,2.375,0.966,15819.6,0.7404,15763.5,74.62,1.2746,0.042712,347.37,True,physics_simulated_synthetic
BGW-001,136.04,592.3,5.71,102.2,57.97,1.0,3316.2,3811.5,2.375,0.906,15608.0,0.7321,15732.8,72.97,1.2659,0.033845,219.83,True,physics_simulated_synthetic
BGW-001,3492.1,807.9,3.549,136.52,46.77,1.0,3316.2,3811.5,2.375,0.992,15892.3,0.4834,16177.6,40.39,2.9149,0.046489,81.51,True,physics_simulated_synthetic
BGW-001,34530.83,268.5,4.024,107.29,42.71,1.0,3316.2,3811.5,2.375,0.95,15752.9,0.3474,16865.3,13.55,9.9199,0.038088,22.25,True,physics_simulated_synthetic
BGW-001,209.43,652.6,5.507,67.57,37.38,1.0,3316.2,3811.5,2.375,0.977,15840.8,0.7055,15926.9,69.82,2.0771,0.022653,86.49,True,physics_simulated_synthetic
BGW-001,82.07,601.5,7.18,125.62,36.78,1.0,3316.2,3811.5,2.375,0.942,15739.2,0.7373,15978.4,72.82,2.0305,0.042252,215.15,True,physics_simulated_synthetic
BGW-001,213.61,955.1,7.589,105.31,44.97,1.0,3316.2,3811.5,2.375,0.946,15749.0,0.6756,15720.9,69.66,1.7081,0.034848,222.96,True,physics_simulated_synthetic
BGW-001,398.55,281.5,5.108,114.76,50.65,1.0,3316.2,3811.5,2.375,0.911,15624.5,0.6575,15871.1,64.92,1.6429,0.038338,171.65,True,physics_simulated_synthetic
BGW-001,112.07,481.3,4.077,79.12,47.96,1.0,3316.2,3811.5,2.375,0.956,15769.1,0.7687,15827.6,77.18,1.4553,0.026361,106.35,True,physics_simulated_synthetic
BGW-001,207.24,539.7,5.157,117.23,53.51,1.0,3316.2,3811.5,2.375,0.941,15724.0,0.7113,15716.7,67.41,1.4831,0.038784,194.18,True,physics_simulated_synthetic
BGW-001,51.62,1078.1,4.305,122.08,57.29,1.0,3316.2,3811.5,2.375,0.937,15709.0,0.7998,15729.6,78.72,1.1873,0.040423,211.06,True,physics_simulated_synthetic
BGW-001,141.61,620.4,2.644,65.22,35.22,1.0,3316.2,3811.5,2.375,0.955,15763.3,0.7776,16080.1,76.81,2.0233,0.022075,41.54,True,physics_simulated_synthetic
BGW-001,4930.63,892.2,6.907,89.85,51.64,1.0,3316.2,3811.5,2.375,0.91,15623.3,0.428,16169.8,33.31,3.1993,0.030584,95.08,True,physics_simulated_synthetic
BGW-001,215.63,975.6,3.361,138.78,38.44,1.0,3316.2,3811.5,2.375,0.982,15858.9,0.7352,15675.7,73.67,1.8841,0.045795,117.64,True,physics_simulated_synthetic
BGW-001,167.18,999.1,3.046,69.67,51.72,1.0,3316.2,3811.5,2.375,0.979,15843.4,0.7595,16018.3,75.01,1.4055,0.023493,73.31,True,physics_simulated_synthetic
BGW-001,62.67,1065.1,4.274,97.8,40.2,1.0,3316.2,3811.5,2.375,0.999,15914.8,0.7933,16095.1,79.81,1.7076,0.033133,119.41,True,physics_simulated_synthetic
BGW-001,15936.78,424.5,2.676,127.32,32.7,1.0,3316.2,3811.5,2.375,0.987,15874.2,0.3946,16853.3,23.31,7.5263,0.045168,23.13,True,physics_simulated_synthetic
BGW-001,653.62,879.6,3.517,99.1,49.18,1.0,3316.2,3811.5,2.375,0.901,15583.8,0.6324,15597.0,60.77,1.7762,0.032537,92.77,True,physics_simulated_synthetic
BGW-001,371.29,401.9,6.783,90.9,51.89,1.0,3316.2,3811.5,2.375,0.997,15914.1,0.6419,16035.9,62.35,1.6871,0.030682,177.64,True,physics_simulated_synthetic
BGW-001,144.13,937.1,6.69,96.36,41.22,1.0,3316.2,3811.5,2.375,0.955,15773.6,0.7144,15983.2,70.02,1.8852,0.032418,165.67,True,physics_simulated_synthetic
BGW-001,53.91,916.6,3.509,121.17,43.55,1.0,3316.2,3811.5,2.375,0.995,15901.9,0.8117,16098.7,83.76,1.5023,0.041062,138.1,True,physics_simulated_synthetic
BGW-001,114.19,1097.7,6.949,80.23,58.69,1.0,3316.2,3811.5,2.375,0.977,15845.7,0.7243,15866.6,74.2,1.2402,0.026796,216.21,True,physics_simulated_synthetic
BGW-001,5231.78,1044.8,5.869,73.57,52.62,1.0,3316.2,3811.5,2.375,0.959,15782.7,0.433,16482.0,31.23,3.4142,0.025524,63.18,True,physics_simulated_synthetic
BGW-001,6520.81,203.3,3.013,120.36,50.23,1.0,3316.2,3811.5,2.375,0.951,15751.4,0.4445,16117.4,32.63,3.3468,0.040836,52.93,True,physics_simulated_synthetic
BGW-001,192.68,621.0,3.219,115.73,51.02,1.0,3316.2,3811.5,2.375,0.904,15593.9,0.7462,15497.0,76.12,1.3583,0.037752,128.83,True,physics_simulated_synthetic
BGW-001,183.02,516.9,5.138,139.29,37.96,1.0,3316.2,3811.5,2.375,0.945,15740.3,0.7207,15602.6,72.36,1.9334,0.045748,175.09,True,physics_simulated_synthetic
BGW-001,100.66,509.5,6.377,141.56,52.03,1.0,3316.2,3811.5,2.375,0.913,15637.3,0.7393,15584.5,73.63,1.3847,0.04644,308.0,True,physics_simulated_synthetic
BGW-001,459.19,404.4,7.593,66.82,52.51,1.0,3316.2,3811.5,2.375,0.931,15692.6,0.6136,15969.2,57.78,1.7914,0.022461,137.1,True,physics_simulated_synthetic
BGW-001,1900.2,922.0,7.556,137.4,47.54,1.0,3316.2,3811.5,2.375,0.96,15804.1,0.4913,16171.6,43.35,2.6705,0.046772,190.58,True,physics_simulated_synthetic
BGW-001,29057.24,529.7,2.896,92.38,31.09,1.0,3316.2,3811.5,2.375,0.959,15779.6,0.3634,16870.7,15.87,11.6436,0.032807,11.75,True,physics_simulated_synthetic
BGW-001,172.2,1122.2,7.93,71.77,34.68,1.0,3316.2,3811.5,2.375,0.987,15882.6,0.686,15816.6,68.52,2.266,0.023896,120.43,True,physics_simulated_synthetic
BGW-001,694.69,278.7,2.961,99.78,38.13,1.0,3316.2,3811.5,2.375,0.914,15627.4,0.634,15541.0,59.72,2.3228,0.032642,59.91,True,physics_simulated_synthetic
BGW-001,575.29,264.9,6.721,133.88,55.16,1.0,3316.2,3811.5,2.375,0.927,15688.3,0.604,15919.4,56.69,1.7327,0.044864,250.58,True,physics_simulated_synthetic
BGW-001,2115.04,722.2,7.49,64.3,58.66,1.0,3316.2,3811.5,2.375,0.996,15910.0,0.4835,16193.9,43.64,2.1533,0.021917,109.79,True,physics_simulated_synthetic
BGW-001,7852.4,535.9,6.488,80.57,53.73,1.0,3316.2,3811.5,2.375,0.975,15838.4,0.4027,16619.2,26.52,3.9693,0.028186,66.35,True,physics_simulated_synthetic
BGW-001,1486.73,588.1,3.509,108.38,33.07,1.0,3316.2,3811.5,2.375,0.966,15803.5,0.5549,16127.4,53.78,3.0871,0.036794,60.22,True,physics_simulated_synthetic
BGW-001,6866.13,293.9,2.846,103.17,53.39,1.0,3316.2,3811.5,2.375,0.922,15654.5,0.4427,16715.7,30.72,3.469,0.036301,42.88,True,physics_simulated_synthetic
BGW-001,56.11,458.6,4.677,104.74,39.79,1.0,3316.2,3811.5,2.375,0.914,15632.7,0.7908,15824.3,78.38,1.7268,0.034889,136.09,True,physics_simulated_synthetic
BGW-001,15256.44,670.8,3.741,108.45,49.86,1.0,3316.2,3811.5,2.375,0.957,15774.1,0.3881,16591.2,21.43,5.2868,0.037874,38.59,True,physics_simulated_synthetic
BGW-001,15492.39,945.5,6.127,87.19,33.12,1.0,3316.2,3811.5,2.375,0.94,15723.6,0.3689,16710.7,18.07,9.5049,0.03067,28.47,True,physics_simulated_synthetic
BGW-001,835.65,1173.0,5.864,142.21,35.24,1.0,3316.2,3811.5,2.375,0.968,15819.8,0.5801,15984.7,54.87,2.8137,0.047851,143.6,True,physics_simulated_synthetic
BGW-001,4978.24,1026.1,3.036,142.08,56.69,1.0,3316.2,3811.5,2.375,0.982,15858.6,0.4626,16433.0,40.24,2.4519,0.049145,87.64,True,physics_simulated_synthetic
BGW-001,4868.34,706.9,6.159,80.1,45.13,1.0,3316.2,3811.5,2.375,0.976,15842.1,0.4352,16374.7,32.16,3.8404,0.02761,63.76,True,physics_simulated_synthetic
BGW-001,1168.31,363.6,6.729,65.15,59.21,1.0,3316.2,3811.5,2.375,0.912,15627.9,0.5404,15928.7,48.39,1.8922,0.021846,111.88,True,physics_simulated_synthetic
BGW-001,2649.82,914.6,2.637,97.35,59.8,1.0,3316.2,3811.5,2.375,0.945,15730.7,0.5149,16007.8,43.52,2.0939,0.032803,59.49,True,physics_simulated_synthetic
BGW-001,17363.17,334.2,4.606,119.99,49.07,1.0,3316.2,3811.5,2.375,0.992,15893.1,0.3747,16832.1,21.02,5.555,0.042513,50.76,True,physics_simulated_synthetic
BGW-001,236.92,495.7,6.486,68.28,31.45,1.0,3316.2,3811.5,2.375,0.957,15777.5,0.6825,15818.6,66.51,2.5737,0.022734,82.5,True,physics_simulated_synthetic
BGW-001,100.73,236.1,3.176,68.13,38.85,1.0,3316.2,3811.5,2.375,0.908,15605.8,0.7894,15461.9,79.17,1.7109,0.022174,59.27,True,physics_simulated_synthetic
BGW-001,30950.43,330.5,5.787,119.38,53.91,1.0,3316.2,3811.5,2.375,0.944,15736.9,0.3396,16817.0,15.47,6.8619,0.042258,51.32,True,physics_simulated_synthetic
BGW-001,94.09,1152.5,5.87,100.08,41.44,1.0,3316.2,3811.5,2.375,0.951,15757.6,0.7502,15866.1,76.3,1.708,0.033426,165.41,True,physics_simulated_synthetic
BGW-001,27058.79,564.7,3.536,83.1,43.6,1.0,3316.2,3811.5,2.375,0.903,15589.9,0.3617,16794.7,14.67,8.9339,0.029377,16.74,True,physics_simulated_synthetic
BGW-001,1359.35,457.4,5.743,80.28,46.97,1.0,3316.2,3811.5,2.375,0.992,15894.8,0.5377,16355.1,46.76,2.5343,0.027639,90.19,True,physics_simulated_synthetic
BGW-001,5922.81,1031.3,3.888,133.79,38.36,1.0,3316.2,3811.5,2.375,0.995,15902.2,0.4426,16479.0,32.02,4.5669,0.046408,56.89,True,physics_simulated_synthetic
BGW-001,128.34,475.5,3.19,69.08,52.02,1.0,3316.2,3811.5,2.375,0.938,15708.3,0.7749,15794.9,77.04,1.3416,0.022968,78.65,True,physics_simulated_synthetic
BGW-001,641.18,407.8,7.205,115.59,34.99,1.0,3316.2,3811.5,2.375,0.94,15730.1,0.5885,15673.5,55.05,2.7692,0.038136,142.89,True,physics_simulated_synthetic
BGW-001,10571.46,272.1,4.62,127.77,31.95,1.0,3316.2,3811.5,2.375,0.987,15879.6,0.4008,16743.2,26.44,6.7464,0.045031,44.41,True,physics_simulated_synthetic
BGW-001,110.68,584.1,3.432,109.63,47.23,1.0,3316.2,3811.5,2.375,0.912,15620.3,0.7799,15616.5,77.04,1.4608,0.036038,121.92,True,physics_simulated_synthetic
BGW-001,934.22,516.6,5.685,119.6,42.82,1.0,3316.2,3811.5,2.375,0.955,15774.1,0.5719,16025.7,53.53,2.3798,0.040346,138.8,True,physics_simulated_synthetic
BGW-001,494.84,984.2,5.261,107.0,50.64,1.0,3316.2,3811.5,2.375,0.929,15684.4,0.6358,15903.7,59.12,1.8082,0.035821,150.07,True,physics_simulated_synthetic
BGW-001,141.73,667.6,4.912,123.74,45.97,1.0,3316.2,3811.5,2.375,0.902,15594.6,0.7415,15642.4,72.88,1.5893,0.040743,181.31,True,physics_simulated_synthetic
BGW-001,396.33,225.8,7.008,94.28,53.92,1.0,3316.2,3811.5,2.375,0.989,15891.3,0.6335,16015.4,62.72,1.612,0.031785,198.98,True,physics_simulated_synthetic
BGW-001,287.54,577.1,4.357,81.15,31.02,1.0,3316.2,3811.5,2.375,0.901,15587.2,0.6966,15767.1,65.9,2.6254,0.026934,64.37,True,physics_simulated_synthetic
BGW-001,3735.81,868.0,4.375,70.22,55.38,1.0,3316.2,3811.5,2.375,0.901,15586.9,0.4701,16224.4,36.03,2.7674,0.023982,54.6,True,physics_simulated_synthetic
BGW-001,194.77,876.8,3.872,72.81,41.93,1.0,3316.2,3811.5,2.375,0.981,15851.4,0.7352,15878.2,72.19,1.7856,0.024336,76.0,True,physics_simulated_synthetic
BGW-001,16082.83,247.8,3.78,142.21,55.44,1.0,3316.2,3811.5,2.375,0.968,15813.7,0.3851,16679.4,21.61,4.7397,0.049929,57.33,True,physics_simulated_synthetic
BGW-001,2824.62,492.4,7.027,91.5,52.67,1.0,3316.2,3811.5,2.375,0.99,15893.6,0.4658,16410.9,37.2,2.8505,0.031607,112.21,True,physics_simulated_synthetic
BGW-001,126.07,864.4,6.602,143.42,42.58,1.0,3316.2,3811.5,2.375,0.984,15877.5,0.7237,15940.5,70.46,1.8083,0.048125,253.02,True,physics_simulated_synthetic
BGW-001,13117.16,919.9,2.723,104.28,53.35,1.0,3316.2,3811.5,2.375,0.924,15660.4,0.4048,16689.4,25.86,4.1172,0.036636,34.9,True,physics_simulated_synthetic
BGW-001,126.46,1017.6,4.252,64.31,58.64,1.0,3316.2,3811.5,2.375,0.931,15685.5,0.7588,15696.6,75.66,1.2044,0.021247,108.02,True,physics_simulated_synthetic
BGW-001,82.97,1092.4,4.68,93.31,50.06,1.0,3316.2,3811.5,2.375,0.958,15777.2,0.7747,15691.5,79.01,1.3504,0.03082,153.8,True,physics_simulated_synthetic
BGW-001,55.4,493.3,4.276,65.6,41.36,1.0,3316.2,3811.5,2.375,0.947,15736.9,0.7979,15566.2,78.94,1.6229,0.021495,81.55,True,physics_simulated_synthetic
BGW-001,67.88,373.7,2.678,119.79,38.09,1.0,3316.2,3811.5,2.375,0.934,15693.8,0.8172,15751.9,81.43,1.7286,0.039718,88.61,True,physics_simulated_synthetic
BGW-001,722.2,463.0,4.155,79.0,54.3,1.0,3316.2,3811.5,2.375,0.937,15706.8,0.6145,15955.7,57.49,1.7397,0.026533,91.26,True,physics_simulated_synthetic
BGW-001,117.27,307.7,6.522,143.76,37.75,1.0,3316.2,3811.5,2.375,0.915,15646.6,0.729,15577.7,70.98,1.9788,0.047141,223.75,True,physics_simulated_synthetic
BGW-001,2254.25,1119.2,2.863,68.71,53.06,1.0,3316.2,3811.5,2.375,0.974,15828.8,0.5259,16212.7,45.73,2.2742,0.023449,42.5,True,physics_simulated_synthetic
BGW-001,15985.08,249.6,7.377,121.39,46.81,1.0,3316.2,3811.5,2.375,0.996,15920.4,0.3584,16716.3,20.56,5.9113,0.042715,76.76,True,physics_simulated_synthetic
BGW-001,621.36,573.7,4.604,85.27,51.35,1.0,3316.2,3811.5,2.375,0.913,15627.5,0.623,15779.5,60.92,1.7168,0.028322,109.38,True,physics_simulated_synthetic
BGW-001,9630.29,447.1,4.742,100.82,47.72,1.0,3316.2,3811.5,2.375,0.961,15788.7,0.4051,16576.6,26.44,4.4727,0.03518,53.71,True,physics_simulated_synthetic
BGW-001,11369.96,816.7,4.356,137.14,59.45,1.0,3316.2,3811.5,2.375,0.906,15608.2,0.3989,16446.9,23.74,3.9667,0.04748,75.09,True,physics_simulated_synthetic
BGW-001,1640.55,738.9,3.624,134.17,33.86,1.0,3316.2,3811.5,2.375,0.981,15854.7,0.5448,16088.3,47.33,3.4166,0.045438,69.4,True,physics_simulated_synthetic
